# control_id|owner_doc|category|risk|automation|enforcement|evidence|merge_gate
CTRL-01|docs/practice_controls.md|tooling|critical|strong|script:tooling/scripts/practice_controls_check.sh|matrix-check|yes
CTRL-02|docs/README.md|docs|medium|strong|script:tooling/scripts/docs_reference_check.mjs|doc-link-check|yes
CTRL-03|docs/foundation_nervous_system.md|contracts|high|strong|script:tooling/scripts/check_lifecycle_manifest.sh|lifecycle-manifest-check|yes
CTRL-04|docs/foundation_tooling.md|tooling|high|strong|script:tooling/scripts/server_kit_module_parity_check.sh|module-parity|yes
AOC-01|docs/agent_operating_contract.md|agent|high|partial|script:tooling/scripts/agent_contract_check.sh;review|definition-of-done|yes
EVID-01|docs/agent_operating_contract.md|agent|high|human|review|evidence-ledger|yes
FPR-01|docs/future_practices_research.md|research|medium|human|review|research-ledger|contextual
AISEC-01|docs/ai_threat_model.md|security|critical|human|review|threat-model|yes
AISEC-02|docs/security_practices.md|security|critical|partial|script:tooling/scripts/app_security_profile_check.sh;review|app-threat-profile|yes
PERFLAB-01|docs/performance_lab.md|performance|high|contextual|script:tooling/scripts/performance_check.sh;review|benchmark-artifact|contextual
PERFLAB-02|docs/foundation_benchmarks.md|performance|medium|strong|script:tooling/scripts/benchmark_evidence_check.sh|benchmark-evidence|yes
RUNTIME-01|docs/performance_lab.md|performance|high|partial|script:tooling/scripts/runtime_performance_contract_check.sh;script:tooling/scripts/performance_check.sh;review|profile-trace-benchmark|yes
FORMAL-01|docs/tla_architecture_practices.md|formal|high|partial|script:tooling/scripts/formal_methods_check.sh;review|spec-template|yes
OPS-01|docs/delivery_metrics_practices.md|operations|high|partial|script:tooling/scripts/operational_excellence_check.sh;review|delivery-event|yes
PROJFRESH-01|docs/projection_freshness_contract.md|data-plane|high|partial|script:tooling/scripts/contract_drift_check.sh;review|freshness-spec|yes
CP-01|docs/coding_practices.md|coding|medium|partial|script:tooling/scripts/coding_practices_check.sh;review|static-analysis|yes
CP-02|docs/coding_practices.md|coding|high|partial|script:tooling/scripts/coding_practices_check.sh;review|bounded-test|yes
CP-03|docs/coding_practices.md|coding|medium|partial|script:tooling/scripts/go_static_analysis_check.sh;review|complexity-report|yes
CP-04|docs/coding_practices.md|coding|high|strong|script:tooling/scripts/go_static_analysis_check.sh;script:tooling/scripts/coding_practices_check.sh|static-analysis|yes
CP-05|docs/coding_practices.md|coding|medium|partial|review|invariant-test|contextual
CP-06|docs/coding_practices.md|coding|high|partial|script:tooling/scripts/go_concurrency_practices_check.sh;review|concurrency-test|yes
CP-07|docs/coding_practices.md|performance|high|contextual|script:tooling/scripts/performance_check.sh;review|benchmark|contextual
